Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Rubio,Murphy,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
JMC Analytics and Polling (R),2016-07-09,2016-07-10,2016-07-12T17:28:12Z,700,Likely Voters,Automated Phone,40.0,33.0,-7.0,http://elections.huffingtonpost.com/pollster/polls/jmc-analytics-and-polling-r-24864,http://winwithjmc.com/wp-content/uploads/2016/07/Florida-Executive-Summary.pdf,Pollster,Rep,,1
SurveyUSA/Bay News 9/News 13,2016-06-25,2016-06-27,2016-06-29T14:59:06Z,1678,Likely Voters,IVR/Online,43.0,43.0,0.0,http://elections.huffingtonpost.com/pollster/polls/surveyusa-bay-news-9-news-13-24797,http://www.surveyusa.com/client/PollReport.aspx?g=f314592b-a46a-4fc9-8621-19f500aada3f,Nonpartisan,None,,1
Quinnipiac,2016-06-08,2016-06-19,2016-06-22T14:27:25Z,975,Registered Voters,Live Phone,47.0,40.0,-7.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24734,https://www.qu.edu/images/polling/ps/ps06222016_Smbh28wf.pdf,Nonpartisan,None,,1
PPP (D),2016-06-15,2016-06-16,2016-06-17T19:06:07Z,508,Likely Voters,IVR/Online,41.0,42.0,1.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24703,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_FL_61717.pdf,Pollster,Dem,,1
PPP (D),2016-06-02,2016-06-05,2016-06-07T18:41:29Z,737,Likely Voters,IVR/Online,43.0,44.0,1.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24635,http://www.publicpolicypolling.com/pdf/PPP_Release_FL_607161.pdf,Pollster,Dem,,1
Associated Industries of Florida (R),2016-04-25,2016-04-27,2016-05-02T14:34:19Z,604,Likely Voters,Live Phone,49.0,41.0,-8.0,http://elections.huffingtonpost.com/pollster/polls/associated-industries-of-florida-r-24418,http://www.capitalnewyork.com/article/florida/2016/05/8598048/florida-poll-republican-brand-damage-bolsters-clinton,Pollster,Rep,,1
PPP (D),2015-09-11,2015-09-13,2015-09-18T21:58:01Z,814,Likely Voters,IVR/Online,46.0,40.0,-6.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22753,http://www.publicpolicypolling.com/main/2015/09/everything-up-in-the-air-in-florida-senate-race.html#more,Pollster,Dem,,1
PPP (D),2015-03-19,2015-03-22,2015-03-26T00:56:21Z,923,Likely Voters,IVR/Online,48.0,41.0,-7.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-21918,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_FL_32515.pdf,Pollster,Dem,,1
Mason-Dixon,2015-03-03,2015-03-05,2015-03-11T21:51:32Z,800,Registered Voters,Live Phone,50.0,38.0,-12.0,http://elections.huffingtonpost.com/pollster/polls/mason-dixon-21843,http://mason-dixon.com/wp-content/uploads/2015/03/Mason-Dixon-FL-Poll-US-Senate-3-15.pdf,Nonpartisan,None,,1
PPP (D),2014-09-04,2014-09-07,2014-09-09T21:01:15Z,818,Likely Voters,Mixed,46.0,41.0,-5.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-20353,http://www.publicpolicypolling.com/pdf/2014/PPP_Release_FL_909704.pdf,Pollster,Dem,,1
