Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Johnson,Feingold,Other,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Loras College,2016-03-28,2016-03-29,2016-04-03T13:08:39Z,1000,Likely Voters,Live Phone,39.0,48.0,1.0,9.0,http://elections.huffingtonpost.com/pollster/polls/loras-college-24189,http://www.loras.edu/news/loras-college-poll-finds-cruz-tops-trump-clinton-leads-sanders-tight-race-state-supreme-court-wisconsin/,Nonpartisan,None,,1
PPP (D-VoteVets Action Fund),2016-03-28,2016-03-29,2016-03-31T14:51:28Z,1397,Likely Voters,IVR/Online,39.0,46.0,,7.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-votevets-action-fund-24176,http://www.publicpolicypolling.com/pdf/2015/WisconsinPrimaryPoll33116.pdf,Sponsor,Dem,,1
Marquette Law School,2016-03-24,2016-03-28,2016-03-30T17:10:50Z,957,Likely Voters,Live Phone,44.0,47.0,,3.0,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-24172,https://law.marquette.edu/poll/2016/03/30/new-marquette-law-school-poll-finds-cruz-sanders-ahead-in-wisconsin-presidential-primaries-bradley-leads-state-supreme-court-race/,Nonpartisan,None,,1
Marquette Law School,2016-02-18,2016-02-21,2016-02-25T19:31:09Z,802,Registered Voters,Live Phone,37.0,49.0,5.0,12.0,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-23872,https://law.marquette.edu/poll/2016/02/25/new-marquette-law-school-poll-finds-tight-democratic-race-trump-maintaining-republican-lead-in-wisconsin/,Nonpartisan,None,,1
Marquette Law School,2016-01-21,2016-01-24,2016-01-28T19:28:23Z,806,Registered Voters,Live Phone,37.0,50.0,4.0,13.0,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-23623,https://law.marquette.edu/poll/2016/01/28/new-marquette-law-school-poll-finds-tight-races-in-wisconsin-presidential-primaries/,Nonpartisan,None,,1
Marquette Law School,2015-11-12,2015-11-15,2015-11-20T17:43:41Z,803,Registered Voters,Live Phone,38.0,49.0,8.0,11.0,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-23197,https://law.marquette.edu/poll/wp-content/uploads/2015/11/MLSP31ToplinesFinal.pdf,Nonpartisan,None,,1
GQR (D)/Democracy Corps/WVWV/Voter Participation Center,2015-10-24,2015-10-28,2015-11-09T21:57:29Z,400,Likely Voters,Live Phone,46.0,51.0,,5.0,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-wvwv-voter-participation-center-23095,http://www.democracycorps.com/attachments/article/1014/Dcorps_WV_BG_11.9.15_final.pdf,Sponsor,Dem,,1
St Norbert/WPR/WPTV,2015-10-14,2015-10-17,2015-10-23T17:05:13Z,603,Registered Voters,Live Phone,40.0,51.0,,11.0,http://elections.huffingtonpost.com/pollster/polls/st-norbert-wpr-wptv-22973,http://www.wpr.org/sites/default/files/2015%20Fall%20WI%20Survey%20Release.pdf,Nonpartisan,None,,1
Marquette Law School,2015-09-24,2015-09-28,2015-09-30T17:31:24Z,803,Registered Voters,Live Phone,36.0,50.0,7.0,14.0,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-22823,https://law.marquette.edu/poll/wp-content/uploads/2015/09/MLSP30Instrument.pdf,Nonpartisan,None,,1
Marquette Law School,2015-08-13,2015-08-16,2015-08-22T01:28:26Z,802,Registered Voters,Live Phone,42.0,47.0,5.0,5.0,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-22596,https://law.marquette.edu/poll/wp-content/uploads/2015/08/MLSP29ToplinesFinal.pdf,Nonpartisan,None,,1
Marquette Law School,2015-04-07,2015-04-10,2015-04-17T22:57:52Z,1409,Registered Voters,Live Phone,38.0,54.0,3.0,16.0,http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-22030,https://law.marquette.edu/poll/wp-content/uploads/2015/04/MLSP28Toplines.pdf,Nonpartisan,None,,1
PPP (D),2015-03-06,2015-03-08,2015-03-12T07:29:06Z,1071,Likely Voters,Automated Phone,41.0,50.0,,9.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-21849,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_WI_31115.pdf,Pollster,Dem,,1
PPP (D),2014-04-17,2014-04-20,2014-04-23T15:33:08Z,1144,Likely Voters,Automated Phone,41.0,47.0,,6.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-19303,http://www.publicpolicypolling.com/pdf/2014/PPP_Release_WI_423.pdf,Pollster,Dem,,1
PPP (D),2013-02-21,2013-02-24,2013-02-26T21:33:30Z,1799,Likely Voters,Automated Phone,42.0,52.0,,10.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-17081,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_WI_022813.pdf,Pollster,Dem,,1
