Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Approve,Disapprove,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Ipsos/Reuters,2016-09-08,2016-09-12,2016-09-14T16:20:00Z,614,Adults - Republican,Internet,14.0,85.0,1.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25486,http://ipsos-na.com/download/pr.aspx?id=15896,Nonpartisan,None,"Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?",1
Ipsos/Reuters,2016-09-08,2016-09-12,2016-09-14T16:20:00Z,221,Adults - independent,Internet,31.0,62.0,6.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25486,http://ipsos-na.com/download/pr.aspx?id=15896,Nonpartisan,None,"Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?",1
Rasmussen,2016-09-08,2016-09-12,2016-09-13T13:30:40Z,1500,Likely Voters,IVR/Online,51.0,48.0,,http://elections.huffingtonpost.com/pollster/polls/rasmussen-25468,http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history,Nonpartisan,None,,1
Gallup,2016-09-09,2016-09-11,2016-09-12T17:03:18Z,1500,Adults,Live Phone,51.0,45.0,,http://elections.huffingtonpost.com/pollster/polls/gallup-25462,http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx,Nonpartisan,None,,1
NBC/SurveyMonkey,2016-09-05,2016-09-11,2016-09-13T12:08:13Z,16220,Registered Voters,Internet,51.0,49.0,1.0,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-25466,http://www.nbcnews.com/politics/2016-election/hillary-clinton-suffered-similar-illness-after-working-demon-bill-n647286,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as president?,1
Morning Consult,2016-09-06,2016-09-08,2016-09-11T12:44:31Z,1710,Likely Voters,Internet,49.0,48.0,3.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25447,https://morningconsult.com/2016/09/11/presidential-race-near-toss-among-likely-voters/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Morning Consult,2016-09-06,2016-09-08,2016-09-11T12:44:31Z,691,Likely Voters - Democrat,Internet,84.0,14.0,2.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25447,https://morningconsult.com/2016/09/11/presidential-race-near-toss-among-likely-voters/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Morning Consult,2016-09-06,2016-09-08,2016-09-11T12:44:31Z,549,Likely Voters - Republican,Internet,12.0,85.0,3.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25447,https://morningconsult.com/2016/09/11/presidential-race-near-toss-among-likely-voters/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Morning Consult,2016-09-06,2016-09-08,2016-09-11T12:44:31Z,470,Likely Voters - independent,Internet,40.0,56.0,4.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25447,https://morningconsult.com/2016/09/11/presidential-race-near-toss-among-likely-voters/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
ABC/Post,2016-09-05,2016-09-08,2016-09-11T12:12:36Z,1002,Adults,Live Phone,58.0,40.0,3.0,http://elections.huffingtonpost.com/pollster/polls/abc-post-25446,https://www.washingtonpost.com/politics/clinton-holds-lead-over-trump-in-new-poll-but-warning-signs-emerge/2016/09/10/800dee0c-76c8-11e6-b786-19d0cb1ed06c_story.html?postshare=531473592721373&tid=ss_tw,Nonpartisan,None,,1
Gallup,2016-09-05,2016-09-08,2016-09-09T19:05:17Z,1500,Adults,Live Phone,50.0,46.0,,http://elections.huffingtonpost.com/pollster/polls/gallup-25439,http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx,Nonpartisan,None,,1
Rasmussen,2016-09-05,2016-09-07,2016-09-08T13:30:50Z,1500,Likely Voters,IVR/Online,51.0,48.0,,http://elections.huffingtonpost.com/pollster/polls/rasmussen-25421,http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history,Nonpartisan,None,,1
YouGov/Economist,2016-09-04,2016-09-06,2016-09-07T14:42:43Z,1300,Adults,Internet,52.0,46.0,3.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25411,https://today.yougov.com/news/2016/09/07/yougoveconomist-poll-september-4-6-2016/,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as President?,1
YouGov/Economist,2016-09-04,2016-09-06,2016-09-07T14:42:43Z,475,Adults - Democrat,Internet,87.0,11.0,1.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25411,https://today.yougov.com/news/2016/09/07/yougoveconomist-poll-september-4-6-2016/,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as President?,1
YouGov/Economist,2016-09-04,2016-09-06,2016-09-07T14:42:43Z,340,Adults - Republican,Internet,11.0,89.0,1.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25411,https://today.yougov.com/news/2016/09/07/yougoveconomist-poll-september-4-6-2016/,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as President?,1
YouGov/Economist,2016-09-04,2016-09-06,2016-09-07T14:42:43Z,485,Adults - independent,Internet,47.0,49.0,5.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25411,https://today.yougov.com/news/2016/09/07/yougoveconomist-poll-september-4-6-2016/,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as President?,1
Ipsos/Reuters,2016-09-01,2016-09-05,2016-09-09T19:40:58Z,1760,Adults,Internet,47.0,48.0,5.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25441,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7361,Nonpartisan,None,"Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?",1
Ipsos/Reuters,2016-09-01,2016-09-05,2016-09-09T19:40:58Z,749,Adults - Democrat,Internet,82.0,17.0,1.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25441,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7361,Nonpartisan,None,"Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?",1
Ipsos/Reuters,2016-09-01,2016-09-05,2016-09-09T19:40:58Z,634,Adults - Republican,Internet,14.0,84.0,2.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25441,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7361,Nonpartisan,None,"Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?",1
Ipsos/Reuters,2016-09-01,2016-09-05,2016-09-09T19:40:58Z,206,Adults - independent,Internet,36.0,60.0,4.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25441,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7361,Nonpartisan,None,"Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?",1
Gallup,2016-09-02,2016-09-04,2016-09-06T17:25:13Z,1500,Adults,Live Phone,52.0,44.0,,http://elections.huffingtonpost.com/pollster/polls/gallup-25401,http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx,Nonpartisan,None,,1
CNN,2016-09-01,2016-09-04,2016-09-09T18:08:49Z,1001,Adults,Live Phone,51.0,48.0,1.0,http://elections.huffingtonpost.com/pollster/polls/cnn-25436,http://www.cnn.com/2016/09/09/politics/poll-economy-obama-approval-rating/index.html,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as president?,1
CNN,2016-09-01,2016-09-04,2016-09-09T18:08:49Z,,Adults - Democrat,Live Phone,87.0,11.0,1.0,http://elections.huffingtonpost.com/pollster/polls/cnn-25436,http://www.cnn.com/2016/09/09/politics/poll-economy-obama-approval-rating/index.html,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as president?,1
CNN,2016-09-01,2016-09-04,2016-09-09T18:08:49Z,,Adults - Republican,Live Phone,11.0,88.0,1.0,http://elections.huffingtonpost.com/pollster/polls/cnn-25436,http://www.cnn.com/2016/09/09/politics/poll-economy-obama-approval-rating/index.html,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as president?,1
CNN,2016-09-01,2016-09-04,2016-09-09T18:08:49Z,,Adults - independent,Live Phone,50.0,49.0,1.0,http://elections.huffingtonpost.com/pollster/polls/cnn-25436,http://www.cnn.com/2016/09/09/politics/poll-economy-obama-approval-rating/index.html,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as president?,1
Rasmussen,2016-08-31,2016-09-04,2016-09-06T15:56:30Z,1500,Likely Voters,IVR/Online,50.0,49.0,,http://elections.huffingtonpost.com/pollster/polls/rasmussen-25398,http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history,Nonpartisan,None,,1
Morning Consult,2016-09-01,2016-09-02,2016-09-04T13:14:15Z,2001,Registered Voters,Internet,46.0,51.0,4.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25336,https://morningconsult.com/2016/09/04/trumps-immigration-stance-isnt-hurting/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Morning Consult,2016-09-01,2016-09-02,2016-09-04T13:14:15Z,706,Registered Voters - Democrat,Internet,81.0,18.0,1.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25336,https://morningconsult.com/2016/09/04/trumps-immigration-stance-isnt-hurting/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Morning Consult,2016-09-01,2016-09-02,2016-09-04T13:14:15Z,646,Registered Voters - Republican,Internet,12.0,86.0,2.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25336,https://morningconsult.com/2016/09/04/trumps-immigration-stance-isnt-hurting/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Morning Consult,2016-09-01,2016-09-02,2016-09-04T13:14:15Z,650,Registered Voters - independent,Internet,40.0,51.0,9.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25336,https://morningconsult.com/2016/09/04/trumps-immigration-stance-isnt-hurting/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Gallup,2016-08-30,2016-09-01,2016-09-02T17:07:36Z,1500,Adults,Live Phone,52.0,44.0,,http://elections.huffingtonpost.com/pollster/polls/gallup-25332,http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx,Nonpartisan,None,,1
GWU/Battleground,2016-08-28,2016-09-01,2016-09-07T11:53:44Z,1000,Likely Voters,Live Phone,50.0,47.0,3.0,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-25409,http://big.assets.huffingtonpost.com/BGGWTarranceGroupLakeResearch.pdf,Nonpartisan,None,,1
IBD/TIPP,2016-08-26,2016-09-01,2016-09-02T16:07:03Z,934,Adults,Live Phone,50.0,44.0,6.0,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-25331,http://www.investors.com/politics/clinton-and-trump-are-tied-in-latest-ibdtipp-poll/,Nonpartisan,None,"In general, do you APPROVE or DISAPPROVE of the way Barack Obama is handling his job as president, or are you not familiar enough to say one way or the other? ",1
IBD/TIPP,2016-08-26,2016-09-01,2016-09-02T16:07:03Z,278,Adults - Democrat,Live Phone,85.0,11.0,5.0,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-25331,http://www.investors.com/politics/clinton-and-trump-are-tied-in-latest-ibdtipp-poll/,Nonpartisan,None,"In general, do you APPROVE or DISAPPROVE of the way Barack Obama is handling his job as president, or are you not familiar enough to say one way or the other? ",1
IBD/TIPP,2016-08-26,2016-09-01,2016-09-02T16:07:03Z,317,Adults - Republican,Live Phone,16.0,81.0,4.0,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-25331,http://www.investors.com/politics/clinton-and-trump-are-tied-in-latest-ibdtipp-poll/,Nonpartisan,None,"In general, do you APPROVE or DISAPPROVE of the way Barack Obama is handling his job as president, or are you not familiar enough to say one way or the other? ",1
IBD/TIPP,2016-08-26,2016-09-01,2016-09-02T16:07:03Z,310,Adults - independent,Live Phone,46.0,45.0,8.0,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-25331,http://www.investors.com/politics/clinton-and-trump-are-tied-in-latest-ibdtipp-poll/,Nonpartisan,None,"In general, do you APPROVE or DISAPPROVE of the way Barack Obama is handling his job as president, or are you not familiar enough to say one way or the other? ",1
Morning Consult,2016-08-29,2016-08-30,2016-09-01T12:12:49Z,2002,Registered Voters,Internet,45.0,50.0,5.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25307,https://morningconsult.com/2016/09/01/voters-want-gary-johnson-jill-stein-debate-stage/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
FOX,2016-08-28,2016-08-30,2016-09-01T22:10:22Z,1011,Registered Voters,Live Phone,54.0,43.0,3.0,http://elections.huffingtonpost.com/pollster/polls/fox-25324,http://www.foxnews.com/politics/2016/09/01/fox-news-poll-voters-say-us-less-safe-than-before-911-iran-deal-hurt-security.html,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as president?,1
FOX,2016-08-28,2016-08-30,2016-09-01T22:10:22Z,,Registered Voters - Democrat,Live Phone,89.0,10.0,2.0,http://elections.huffingtonpost.com/pollster/polls/fox-25324,http://www.foxnews.com/politics/2016/09/01/fox-news-poll-voters-say-us-less-safe-than-before-911-iran-deal-hurt-security.html,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as president?,1
FOX,2016-08-28,2016-08-30,2016-09-01T22:10:22Z,,Registered Voters - Republican,Live Phone,21.0,77.0,2.0,http://elections.huffingtonpost.com/pollster/polls/fox-25324,http://www.foxnews.com/politics/2016/09/01/fox-news-poll-voters-say-us-less-safe-than-before-911-iran-deal-hurt-security.html,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as president?,1
FOX,2016-08-28,2016-08-30,2016-09-01T22:10:22Z,,Registered Voters - independent,Live Phone,48.0,48.0,4.0,http://elections.huffingtonpost.com/pollster/polls/fox-25324,http://www.foxnews.com/politics/2016/09/01/fox-news-poll-voters-say-us-less-safe-than-before-911-iran-deal-hurt-security.html,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as president?,1
Rasmussen,2016-08-28,2016-08-30,2016-08-31T13:50:29Z,1500,Likely Voters,IVR/Online,48.0,50.0,,http://elections.huffingtonpost.com/pollster/polls/rasmussen-25298,http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history,Nonpartisan,None,,1
YouGov/Economist,2016-08-27,2016-08-29,2016-08-31T12:46:46Z,1300,Adults,Internet,50.0,44.0,5.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25297,https://today.yougov.com/news/2016/08/30/yougoveconomist-poll-august-27-29-2016/,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as President?,1
YouGov/Economist,2016-08-27,2016-08-29,2016-08-31T12:46:46Z,491,Adults - Democrat,Internet,87.0,11.0,2.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25297,https://today.yougov.com/news/2016/08/30/yougoveconomist-poll-august-27-29-2016/,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as President?,1
YouGov/Economist,2016-08-27,2016-08-29,2016-08-31T12:46:46Z,306,Adults - Republican,Internet,10.0,90.0,0.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25297,https://today.yougov.com/news/2016/08/30/yougoveconomist-poll-august-27-29-2016/,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as President?,1
YouGov/Economist,2016-08-27,2016-08-29,2016-08-31T12:46:46Z,503,Adults - independent,Internet,45.0,44.0,10.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25297,https://today.yougov.com/news/2016/08/30/yougoveconomist-poll-august-27-29-2016/,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as President?,1
Gallup,2016-08-27,2016-08-29,2016-08-30T19:21:40Z,1500,Adults,Live Phone,51.0,44.0,,http://elections.huffingtonpost.com/pollster/polls/gallup-25295,http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx,Nonpartisan,None,,1
Ipsos/Reuters,2016-08-25,2016-08-29,2016-08-31T21:28:43Z,1946,Adults,Internet,47.0,48.0,6.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25305,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7353,Nonpartisan,None,"Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?",1
Ipsos/Reuters,2016-08-25,2016-08-29,2016-08-31T21:28:43Z,810,Adults - Democrat,Internet,82.0,16.0,1.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25305,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7353,Nonpartisan,None,"Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?",1
Ipsos/Reuters,2016-08-25,2016-08-29,2016-08-31T21:28:43Z,703,Adults - Republican,Internet,12.0,86.0,2.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25305,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7353,Nonpartisan,None,"Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?",1
Ipsos/Reuters,2016-08-25,2016-08-29,2016-08-31T21:28:43Z,227,Adults - independent,Internet,40.0,52.0,8.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25305,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7353,Nonpartisan,None,"Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?",1
Suffolk/USA Today,2016-08-24,2016-08-29,2016-09-01T16:11:24Z,1000,Likely Voters,Live Phone,50.0,45.0,5.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-25319,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as president?,1
Suffolk/USA Today,2016-08-24,2016-08-29,2016-09-01T16:11:24Z,360,Likely Voters - Democrat,Live Phone,88.0,10.0,2.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-25319,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as president?,1
Suffolk/USA Today,2016-08-24,2016-08-29,2016-09-01T16:11:24Z,309,Likely Voters - Republican,Live Phone,6.0,91.0,3.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-25319,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as president?,1
Suffolk/USA Today,2016-08-24,2016-08-29,2016-09-01T16:11:24Z,318,Likely Voters - independent,Live Phone,50.0,41.0,9.0,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-25319,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as president?,1
PPP (D),2016-08-26,2016-08-28,2016-08-30T15:47:07Z,881,Likely Voters,IVR/Online,50.0,46.0,4.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-25292,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_83016.pdf,Pollster,Dem,Do you approve or disapprove of President Barack Obama’s job performance?,1
PPP (D),2016-08-26,2016-08-28,2016-08-30T15:47:07Z,,Likely Voters - Democrat,IVR/Online,82.0,12.0,6.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-25292,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_83016.pdf,Pollster,Dem,Do you approve or disapprove of President Barack Obama’s job performance?,1
PPP (D),2016-08-26,2016-08-28,2016-08-30T15:47:07Z,,Likely Voters - Republican,IVR/Online,11.0,85.0,4.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-25292,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_83016.pdf,Pollster,Dem,Do you approve or disapprove of President Barack Obama’s job performance?,1
PPP (D),2016-08-26,2016-08-28,2016-08-30T15:47:07Z,,Likely Voters - independent,IVR/Online,46.0,51.0,3.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-25292,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_83016.pdf,Pollster,Dem,Do you approve or disapprove of President Barack Obama’s job performance?,1
NBC/SurveyMonkey,2016-08-22,2016-08-28,2016-08-30T13:08:32Z,24104,Registered Voters,Internet,51.0,48.0,1.0,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-25289,http://www.nbcnews.com/politics/2016-election/poll-donald-trump-chips-away-hillary-clinton-s-national-lead-n639591,Nonpartisan,None,Do you approve or disapprove of the way Barack Obama is handling his job as president?,1
Morning Consult,2016-08-24,2016-08-26,2016-08-28T13:45:41Z,2007,Registered Voters,Internet,49.0,48.0,3.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25276,https://morningconsult.com/2016/08/28/trump-gains-ground-clinton-black-voters-still-wary/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Morning Consult,2016-08-24,2016-08-26,2016-08-28T13:45:41Z,699,Registered Voters - Democrat,Internet,83.0,14.0,3.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25276,https://morningconsult.com/2016/08/28/trump-gains-ground-clinton-black-voters-still-wary/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Morning Consult,2016-08-24,2016-08-26,2016-08-28T13:45:41Z,643,Registered Voters - Republican,Internet,15.0,84.0,1.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25276,https://morningconsult.com/2016/08/28/trump-gains-ground-clinton-black-voters-still-wary/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Morning Consult,2016-08-24,2016-08-26,2016-08-28T13:45:41Z,665,Registered Voters - independent,Internet,46.0,49.0,5.0,http://elections.huffingtonpost.com/pollster/polls/morning-consult-25276,https://morningconsult.com/2016/08/28/trump-gains-ground-clinton-black-voters-still-wary/,Nonpartisan,None,Do you approve or disapprove of the job Barack Obama is doing as President?,1
Gallup,2016-08-24,2016-08-26,2016-08-27T17:19:03Z,1500,Adults,Live Phone,51.0,43.0,,http://elections.huffingtonpost.com/pollster/polls/gallup-25275,http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx,Nonpartisan,None,,1
